,Discharge_05385000,Discharge_stage_wt_07374000,Discharge_05388250,Discharge_stage_07374525,Discharge_072890000,Discharge_05382000,Discharge_05207600,Discharge_05385500,Discharge_05267000,Discharge_07032000,Discharge_05474500,Discharge_05379500.1,Discharge_05379500,Discharge_05288500,Discharge_stage_05587450,Discharge_stage_07381482,Discharge_wt_05340500,Discharge_stage_05466000,Discharge_stage_ss_07010000,Discharge_stage_05466500,Discharge_stage_ss_07020500,Discharge_stage_ss_07022000,Discharge_05407000,Discharge_05414000,Discharge_05369500,Discharge_stage_05469000,Discharge_05413500,Discharge_stage_05514840,Discharge_05422600,Discharge_stage_05495500
max_value,41.36961737384206,37.18475959667088,36.401590128697734,35.41458639707251,35.357744361013744,31.965149296875946,30.829678258990374,28.252107001559423,28.20329943870639,27.625654836367513,27.08256999926967,26.13891806162297,26.13891806162297,26.084911123695164,25.71198512269853,25.294555522251716,24.53165091293367,24.10598596612255,24.030103912166812,23.74321282520664,23.37279594552228,22.90714963217593,22.126765338042084,22.1196459917422,22.064785472777636,21.5065251950127,19.938797798256864,19.730491023017848,18.184512044928894,16.4795262658238
row_number,314.0,21.0,310.0,23.0,25.0,319.0,305.0,316.0,317.0,34.0,317.0,320.0,320.0,317.0,322.0,27.0,322.0,333.0,162.0,332.0,163.0,163.0,321.0,305.0,333.0,340.0,35.0,53.0,335.0,229.0
