2012-01-01,0.0
2012-01-02,0.0
2012-01-03,2627241.1
2012-01-04,2660454.1
2012-01-05,2801208.7
2012-01-06,2687797.3
2012-01-07,2693236.9
2012-01-08,2698678.0
2012-01-09,2704123.6
2012-01-10,2709570.5
2012-01-11,2715020.7
2012-01-12,2720473.2
2012-01-13,2725927.1
2012-01-14,2731383.5
2012-01-15,2736843.4
2012-01-16,2742305.6
2012-01-17,2747768.7
2012-01-18,2679378.8
2012-01-19,2729746.9
2012-01-20,2721984.7
2012-01-21,2714232.7
2012-01-22,2706489.5
2012-01-23,2698756.1
2012-01-24,2691029.5
2012-01-25,2712636.5
2012-01-26,2647558.4
2012-01-27,2582568.0
2012-01-28,2562510.8
2012-01-29,2573770.4
2012-01-30,2592571.4
2012-01-31,2517739.1
2012-02-01,2555074.4
2012-02-02,2592455.1
2012-02-03,2629858.6
2012-02-04,2542754.1
2012-02-05,2455649.8
2012-02-06,2580479.3
2012-02-07,2541393.1
2012-02-08,2502329.2
2012-02-09,2511295.3
2012-02-10,2357931.4
2012-02-11,2237999.8
2012-02-12,2295448.7
2012-02-13,2513528.1
2012-02-14,2453036.3
2012-02-15,2392544.9
2012-02-16,2446000.2
2012-02-17,2499456.7
2012-02-18,2483908.6
2012-02-19,2470582.3
2012-02-20,2457256.0
2012-02-21,2443929.7
2012-02-22,2430603.4
2012-02-23,2417277.2
2012-02-24,2403950.9
2012-02-25,2390624.7
2012-02-26,2460029.4
2012-02-27,2451843.7
2012-02-28,2443659.0
2012-02-29,2435476.4
2012-03-01,2427294.8
2012-03-02,2419114.3
2012-03-03,2410935.0
2012-03-04,2387235.1
2012-03-05,2324101.4
2012-03-06,2258909.7
2012-03-07,2286684.7
2012-03-08,2516811.5
2012-03-09,2389055.7
2012-03-10,2261301.9
2012-03-11,2286113.2
2012-03-12,2310926.4
2012-03-13,2315402.3
2012-03-14,2319951.1
2012-03-15,2280873.7
2012-03-16,2288251.8
2012-03-17,2295633.1
2012-03-18,2303017.8
2012-03-19,2310403.9
2012-03-20,2317792.5
2012-03-21,2333701.9
2012-03-22,2349622.8
2012-03-23,2365555.9
2012-03-24,2381502.7
2012-03-25,2397463.1
2012-03-26,2358928.2
2012-03-27,2320435.9
2012-03-28,2302958.1
2012-03-29,2285482.2
2012-03-30,2285524.7
2012-03-31,2285567.5
2012-04-01,2285610.9
2012-04-02,2285654.6
2012-04-03,2285698.8
2012-04-04,2253220.3
2012-04-05,2220828.8
2012-04-06,2205382.5
2012-04-07,2223430.6
2012-04-08,2241486.3
2012-04-09,2259549.0
2012-04-10,2344417.2
2012-04-11,2429310.7
2012-04-12,2415450.2
2012-04-13,2401595.2
2012-04-14,2387745.8
2012-04-15,2373899.5
2012-04-16,2360056.1
2012-04-17,2346218.6
2012-04-18,2332383.9
2012-04-19,2452817.6
2012-04-20,2414599.7
2012-04-21,2376401.5
2012-04-22,2338233.0
2012-04-23,2300101.6
2012-04-24,2262011.6
2012-04-25,2261950.7
2012-04-26,2261890.0
2012-04-27,2261829.5
2012-04-28,2261769.1
2012-04-29,2261708.7
2012-04-30,2261648.6
2012-05-01,2261588.7
2012-05-02,2271562.1
2012-05-03,2281599.7
2012-05-04,2291694.4
2012-05-05,2293617.3
2012-05-06,2295571.5
2012-05-07,2297564.6
2012-05-08,2224900.4
2012-05-09,2218354.2
2012-05-10,2064275.4
2012-05-11,2139652.1
2012-05-12,2147817.2
2012-05-13,2155996.4
2012-05-14,2164186.9
2012-05-15,2135650.1
2012-05-16,2102226.5
2012-05-17,2068811.5
2012-05-18,2041911.5
2012-05-19,2015025.3
2012-05-20,1988149.8
2012-05-21,1961280.7
2012-05-22,1932723.4
2012-05-23,1901130.7
2012-05-24,1904129.1
2012-05-25,1907132.6
2012-05-26,1910137.6
2012-05-27,1913143.2
2012-05-28,1916150.3
2012-05-29,1919157.8
2012-05-30,1922166.3
2012-05-31,1925175.6
2012-06-01,1928186.2
2012-06-02,1931198.6
2012-06-03,1934211.7
2012-06-04,1937225.7
2012-06-05,1940240.8
2012-06-06,1986607.1
2012-06-07,2033022.1
2012-06-08,2031184.6
2012-06-09,2029355.3
2012-06-10,2027533.2
2012-06-11,2025720.8
2012-06-12,2023916.4
2012-06-13,2022121.0
2012-06-14,2109053.1
2012-06-15,2107318.7
2012-06-16,2105585.0
2012-06-17,2103852.3
2012-06-18,2102120.9
2012-06-19,2100391.0
2012-06-20,2064185.7
2012-06-21,2027984.7
2012-06-22,1991789.5
2012-06-23,1955601.0
2012-06-24,1919419.4
2012-06-25,1883245.5
2012-06-26,1847081.1
2012-06-27,1869281.9
2012-06-28,1891489.9
2012-06-29,1889416.1
2012-06-30,1887345.7
2012-07-01,1885279.2
2012-07-02,1883220.4
2012-07-03,1848442.9
2012-07-04,1813677.5
2012-07-05,1779032.7
2012-07-06,1778984.5
2012-07-07,1778936.3
2012-07-08,1778888.1
2012-07-09,1778839.9
2012-07-10,1778791.8
2012-07-11,1784564.1
2012-07-12,1790375.6
2012-07-13,1796217.0
2012-07-14,1802072.6
2012-07-15,1807936.0
2012-07-16,1813809.5
2012-07-17,1882463.2
2012-07-18,1951214.3
2012-07-19,2020022.8
2012-07-20,1972493.3
2012-07-21,1924986.3
2012-07-22,1877505.5
2012-07-23,1830054.1
2012-07-24,1782633.7
2012-07-25,2001301.5
2012-07-26,1958190.2
2012-07-27,1956414.8
2012-07-28,1954639.5
2012-07-29,1952864.4
2012-07-30,1951089.3
2012-07-31,1949314.3
2012-08-01,1848754.5
2012-08-02,1748371.1
2012-08-03,1753016.9
2012-08-04,1757663.0
2012-08-05,1762309.6
2012-08-06,1766956.7
2012-08-07,1771605.0
2012-08-08,1776253.9
2012-08-09,1785401.1
2012-08-10,1794548.9
2012-08-11,1803697.4
